producto,sku,stock,categoria
Set de Bowls Mediterráneo,COC-001,84,cocina
Tabla de Madera Olivia,COC-002,61,cocina
Porta Utensilios Cobre,COC-003,120,cocina
Delantal Lino Natural,COC-004,95,cocina
Especiero Madera 12 frascos,COC-005,43,cocina
Salvamanteles Silicona Set,COC-006,210,cocina
Jabonera Mármol Blanco,BAN-001,76,baño
Set Toallas Waffle,BAN-002,55,baño
Porta Cepillo Cerámica,BAN-003,130,baño
Espejo Redondo Nordico,BAN-004,28,baño
Cesto Mimbre Rollo,BAN-005,67,baño
Dispensador Jabón Terrazzo,BAN-006,89,baño
Marco Madera Natural 30x40,DEC-001,102,deco
Jarrón Minimalista Blanco,DEC-002,74,deco
Caja Ratan Organizadora,DEC-003,88,deco
Estante Flotante Roble,DEC-004,36,deco
Reloj Pared Minimalista,DEC-005,49,deco
Colgador Pared Macramé,DEC-006,57,deco
Sillón Boho Arena,SIL-001,18,sillones
Sillón Terciopelo Verde,SIL-002,12,sillones
Puff Redondo Boucle,SIL-003,34,sillones
Sillón Acapulco Negro,SIL-004,22,sillones
Silla Ratán Exterior,SIL-005,40,sillones
Difusor Bambú 200ml,ARO-001,145,aromas
Vela Soja Lavanda Grande,ARO-002,198,aromas
Set Sales de Baño Botánico,ARO-003,110,aromas
Incienso Palo Santo 10u,ARO-004,320,aromas
Aceite Esencial Eucalipto,ARO-005,88,aromas
Mantel Lino 180cm,MES-001,63,mesa
Set Servilletas Bordadas,MES-002,170,mesa
Porta Velas Mesa Hierro,MES-003,91,mesa
Camino Mesa Ratan,MES-004,78,mesa
Salero Pimentero Madera,MES-005,124,mesa
Maceta Terracota XL,JAR-001,52,jardin
Farolito Solar Colgante,JAR-002,69,jardin
Cojín Exterior Rayas,JAR-003,81,jardin
Regadera Cobre Vintage,JAR-004,35,jardin
Guirnalda LED Solar 5m,JAR-005,97,jardin
